incident_id,incident_date,part_id,supplier_id,site_id,defect_severity,defect_type,scrap_qty
QI000001,2017-12-07,P00264,SUP033,SITE06,Major,Surface finish,1
QI000002,2015-07-15,P00185,SUP019,SITE04,Major,Surface finish,1
QI000003,2016-02-14,P00170,SUP001,SITE02,Minor,Material,1
QI000004,2016-10-07,P00164,SUP033,SITE01,Minor,Dimensional,1
QI000005,2018-01-09,P00297,SUP002,SITE01,Minor,Packaging,1
QI000006,2016-04-17,P00101,SUP021,SITE01,Critical,Material,3
QI000007,2017-10-01,P00069,SUP037,SITE06,Major,Certification,1
QI000008,2017-05-19,P00167,SUP023,SITE06,Minor,Dimensional,1
QI000009,2016-10-03,P00003,SUP040,SITE06,Minor,Documentation,1
QI000010,2016-03-13,P00264,SUP033,SITE03,Critical,Dimensional,1
QI000011,2015-12-12,P00054,SUP027,SITE01,Minor,Documentation,1
QI000012,2017-09-21,P00124,SUP020,SITE05,Minor,Documentation,1
QI000013,2017-05-31,P00036,SUP037,SITE05,Major,Documentation,1
QI000014,2017-08-11,P00048,SUP006,SITE02,Minor,Packaging,1
QI000015,2017-07-29,P00090,SUP039,SITE02,Minor,Surface finish,1
QI000016,2016-02-17,P00044,SUP017,SITE06,Minor,Documentation,1
QI000017,2016-02-07,P00137,SUP038,SITE02,Minor,Documentation,1
QI000018,2017-03-19,P00083,SUP030,SITE01,Minor,Dimensional,1
QI000019,2015-06-27,P00128,SUP014,SITE01,Minor,Certification,1
QI000020,2016-01-23,P00230,SUP040,SITE03,Minor,Documentation,1
QI000021,2015-06-26,P00257,SUP038,SITE01,Critical,Documentation,2
QI000022,2015-11-04,P00046,SUP018,SITE03,Minor,Material,1
QI000023,2015-04-12,P00064,SUP032,SITE04,Minor,Packaging,1
QI000024,2016-05-13,P00157,SUP019,SITE03,Minor,Certification,1
QI000025,2017-08-23,P00084,SUP009,SITE02,Minor,Material,1
QI000026,2017-01-12,P00091,SUP024,SITE06,Minor,Surface finish,1
QI000027,2016-09-26,P00149,SUP028,SITE03,Minor,Material,1
QI000028,2017-10-30,P00270,SUP006,SITE05,Major,Dimensional,1
QI000029,2016-10-16,P00240,SUP013,SITE05,Minor,Dimensional,1
QI000030,2016-12-28,P00126,SUP026,SITE03,Minor,Packaging,1
QI000031,2015-10-03,P00161,SUP012,SITE05,Minor,Packaging,1
QI000032,2016-02-15,P00164,SUP033,SITE01,Major,Dimensional,1
QI000033,2018-01-08,P00138,SUP040,SITE05,Minor,Surface finish,1
QI000034,2015-07-31,P00163,SUP027,SITE03,Major,Material,1
QI000035,2016-08-18,P00115,SUP008,SITE04,Minor,Surface finish,1
QI000036,2017-03-16,P00226,SUP027,SITE02,Minor,Packaging,1
QI000037,2016-05-30,P00005,SUP024,SITE06,Minor,Material,1
QI000038,2017-01-04,P00122,SUP022,SITE06,Minor,Dimensional,1
QI000039,2016-02-19,P00021,SUP015,SITE04,Minor,Material,1
QI000040,2015-02-10,P00091,SUP024,SITE06,Minor,Material,1
QI000041,2015-09-29,P00094,SUP011,SITE04,Minor,Certification,1
QI000042,2017-10-01,P00070,SUP027,SITE02,Minor,Material,1
QI000043,2016-07-22,P00084,SUP009,SITE04,Critical,Dimensional,4
QI000044,2016-07-09,P00201,SUP038,SITE02,Minor,Surface finish,1
QI000045,2016-11-22,P00223,SUP012,SITE06,Minor,Certification,1
QI000046,2015-10-13,P00264,SUP033,SITE05,Minor,Certification,1
QI000047,2017-07-08,P00181,SUP025,SITE01,Critical,Documentation,2
QI000048,2015-06-20,P00012,SUP030,SITE01,Major,Packaging,1
QI000049,2015-03-26,P00291,SUP014,SITE05,Minor,Material,1
QI000050,2017-04-23,P00107,SUP022,SITE03,Major,Certification,1
QI000051,2016-03-10,P00121,SUP035,SITE04,Critical,Documentation,13
QI000052,2016-05-28,P00271,SUP023,SITE03,Minor,Packaging,1
QI000053,2016-11-21,P00244,SUP017,SITE06,Critical,Certification,3
QI000054,2015-05-25,P00294,SUP033,SITE05,Critical,Documentation,4
QI000055,2017-02-20,P00080,SUP027,SITE04,Minor,Certification,1
QI000056,2015-07-26,P00185,SUP019,SITE04,Minor,Packaging,1
QI000057,2016-09-09,P00189,SUP038,SITE06,Critical,Surface finish,2
QI000058,2017-01-02,P00163,SUP027,SITE06,Minor,Packaging,1
QI000059,2017-03-03,P00083,SUP030,SITE03,Minor,Documentation,1
QI000060,2017-05-31,P00082,SUP037,SITE02,Minor,Packaging,1
QI000061,2017-07-16,P00020,SUP013,SITE05,Critical,Surface finish,1
QI000062,2016-12-04,P00268,SUP036,SITE04,Minor,Packaging,1
QI000063,2015-05-16,P00245,SUP009,SITE04,Minor,Packaging,1
QI000064,2017-07-26,P00040,SUP026,SITE01,Minor,Certification,1
QI000065,2016-10-26,P00263,SUP029,SITE05,Major,Certification,1
QI000066,2015-10-29,P00102,SUP016,SITE06,Minor,Packaging,1
QI000067,2015-05-14,P00114,SUP018,SITE05,Major,Material,1
QI000068,2016-12-13,P00155,SUP013,SITE05,Minor,Documentation,1
QI000069,2016-02-23,P00214,SUP034,SITE04,Major,Documentation,2
QI000070,2016-11-22,P00028,SUP017,SITE05,Critical,Certification,2
QI000071,2018-01-03,P00117,SUP034,SITE06,Major,Material,1
QI000072,2015-05-16,P00102,SUP016,SITE04,Major,Documentation,1
QI000073,2016-12-02,P00100,SUP040,SITE06,Critical,Surface finish,2
QI000074,2017-07-17,P00072,SUP006,SITE04,Critical,Packaging,2
QI000075,2016-04-19,P00224,SUP028,SITE04,Minor,Surface finish,1
QI000076,2017-09-21,P00280,SUP003,SITE02,Critical,Material,6
QI000077,2016-06-14,P00140,SUP030,SITE06,Major,Documentation,1
QI000078,2016-11-15,P00283,SUP010,SITE02,Minor,Surface finish,1
QI000079,2015-12-25,P00100,SUP040,SITE02,Minor,Documentation,1
QI000080,2016-01-06,P00175,SUP006,SITE06,Minor,Certification,1
QI000081,2015-07-21,P00106,SUP001,SITE04,Major,Material,1
QI000082,2016-08-08,P00178,SUP006,SITE02,Minor,Certification,1
QI000083,2015-12-03,P00186,SUP040,SITE03,Minor,Certification,1
QI000084,2015-12-23,P00029,SUP036,SITE06,Minor,Documentation,1
QI000085,2015-12-16,P00238,SUP040,SITE03,Critical,Packaging,3
QI000086,2017-12-05,P00175,SUP006,SITE03,Minor,Dimensional,1
QI000087,2015-02-22,P00042,SUP014,SITE06,Minor,Surface finish,1
QI000088,2016-04-12,P00052,SUP027,SITE06,Minor,Packaging,1
QI000089,2016-01-09,P00120,SUP013,SITE04,Minor,Surface finish,1
