supplier_id,country,region
SUP004,USA,North America
SUP028,China,Asia
SUP040,USA,North America
SUP034,Japan,Asia
SUP024,Vietnam,Asia
SUP002,Mexico,North America
SUP018,Japan,Asia
SUP012,France,Europe
SUP036,Taiwan,Asia
SUP030,Vietnam,Asia
SUP019,Germany,Europe
SUP022,China,Asia
SUP031,China,Asia
SUP027,Vietnam,Asia
SUP007,Mexico,North America
SUP013,Mexico,North America
SUP015,China,Asia
SUP038,Mexico,North America
SUP029,Germany,Europe
SUP016,USA,North America
SUP017,UK,Europe
SUP023,China,Asia
SUP006,USA,North America
SUP021,Vietnam,Asia
SUP037,France,Europe
SUP014,Japan,Asia
SUP008,Vietnam,Asia
SUP026,Germany,Europe
SUP011,Japan,Asia
SUP001,China,Asia
SUP033,USA,North America
SUP032,France,Europe
SUP035,China,Asia
SUP010,China,Asia
SUP009,USA,North America
SUP039,Vietnam,Asia
SUP025,Taiwan,Asia
SUP003,Mexico,North America
SUP020,Japan,Asia
SUP005,Mexico,North America
