event_id,publish_date,disruption_type,location_entities,severity_score,predicted_label,predicted_probability
784f3aee69,1420483810000,PORT_CONGESTION,"CA,US",5,1,0.5182
eaa9edea07,2015-01-08,PORT_CONGESTION,UNKNOWN,9,1,0.9239
9ca4715d24,2015-01-12,PORT_CONGESTION,VI,8,1,0.8089
0bd970983b,2015-01-14,PORT_CONGESTION,VI,9,1,0.935
750045bfd7,1421681883000,PORT_CONGESTION,"US,VI,CA,MX",9,1,0.9314
3753c6094b,2015-01-19,PORT_CONGESTION,UNKNOWN,9,1,0.9266
d68125eee6,2015-01-19,PORT_CONGESTION,US,8,1,0.8357
3f889c6e15,1421765578000,PORT_CONGESTION,"WF,US",8,1,0.8333
a8ca96ae93,2015-01-20,PORT_CONGESTION,ZW,7,1,0.7102
ae47bde9f3,2015-01-21,PORT_CONGESTION,UNKNOWN,6,1,0.6008
ac1c813af5,2015-01-22,PORT_CONGESTION,US,6,1,0.6137
deb5cb33b5,2015-01-22,PORT_CONGESTION,UNKNOWN,8,1,0.8003
7bb6f6fda5,2015-01-22,GENERAL_DISRUPTION,"IO,KN",7,1,0.7936
bd410e4329,2015-01-23,PORT_CONGESTION,"CN,VI",5,1,0.5771
2d7f93ed1f,1422050660000,PORT_CONGESTION,"VI,US",9,1,0.9062
986cc8b75e,2015-01-26,PORT_CONGESTION,UNKNOWN,9,1,0.9034
ce68867d51,2015-01-26,PORT_CONGESTION,"CN,VI,AS",8,1,0.8855
99131bb262,1422648050000,PORT_CONGESTION,"GH,KW",8,1,0.8588
2e2995fd7a,1422891598000,PORT_CONGESTION,"VI,SG,JP,DE,RU,CN",8,1,0.8638
b6c383efa8,1423003984000,PORT_CONGESTION,"VI,CA,US",7,1,0.776
06e9f3da7a,1422984155000,PORT_CONGESTION,"HK,ES,BR,MX,DE,VI",8,1,0.8268
1390f373ac,2015-02-04,PORT_CONGESTION,CN,8,1,0.8848
1a8b2e8daa,1423092727000,PORT_CONGESTION,VI,7,1,0.7518
83c67ecdae,2015-02-05,PORT_CONGESTION,UNKNOWN,7,1,0.7461
548012fc56,2015-02-05,PORT_CONGESTION,UNKNOWN,9,1,0.9123
a4bb350489,2015-02-09,PORT_CONGESTION,UNKNOWN,9,1,0.9219
c0b5e2f4c8,2015-02-09,PORT_CONGESTION,UNKNOWN,6,1,0.6342
