obs_index,burn_rate_daily,TTS_days,avg_delivery_delay,pct_late_deliveries,quality_incident_rate,supplier_risk_class,criticality_class,news_risk_score,disruption_event_flag,severity_score
0,-1.2108004,1.8574198,-0.108086266,-0.92424476,0.0,0.11985367,0.0,0.0,0.0,0.0
1,0.7089967,3.0636182,-0.03536615,0.028593812,0.0,0.28485298,0.0,0.0,0.0,0.0
2,0.618216,3.0084572,0.082956135,0.016228376,0.0,0.28818458,0.0,0.0,0.0,0.0
3,0.34965333,3.4354503,0.947675,-0.5597566,0.0,0.18812932,0.0,0.0,0.0,0.0
4,0.6722707,3.1655843,0.25606298,0.44464672,0.0,0.33084956,0.0,0.0,0.0,0.0
5,0.4015817,2.9122126,-0.040218674,-0.3609824,0.0,0.18331806,0.0,0.0,0.0,0.0
6,-0.62750643,2.0675309,-0.06490992,-0.15738824,0.0,0.277276,0.0,0.0,0.0,0.0
7,-0.6386821,2.030553,-0.034635585,-0.0013916763,0.0,0.2733377,0.0,0.0,0.0,0.0
8,0.65500647,3.1243744,0.28073218,0.118407376,0.0,0.30159062,0.0,0.0,0.0,0.0
9,-0.6027872,2.0204303,-0.061671626,0.50493544,0.0,0.2855396,0.0,0.0,0.0,0.0
10,0.5990524,3.1234071,-0.057524335,0.116553016,0.0,0.2815174,0.0,0.0,0.0,0.0
11,0.75088906,2.9262693,-0.06326161,0.25691605,0.0,0.25520045,0.0,0.0,0.0,0.0
12,0.69132745,3.0502071,-0.064534105,0.41249275,0.0,0.3066917,0.0,0.0,0.0,0.0
13,0.70578563,1.3754122,0.21095191,0.3380633,0.0,0.3141537,0.0,0.0,0.0,0.0
14,-0.68401724,0.93212116,0.06903981,-0.04978393,0.0,0.18146068,0.0,0.0,0.0,0.0
15,-0.09250438,0.89479077,0.49569678,0.05449341,0.0,0.19142851,0.0,0.0,0.0,0.0
16,-0.029724307,0.43529853,0.22420518,0.78804445,0.0,0.19030881,0.0,0.0,0.0,0.0
17,0.14019263,0.8716511,0.18771876,0.49567786,0.0,0.1663662,0.0,0.0,0.0,0.0
18,0.09386718,0.81763965,0.097867094,0.28901303,0.0,0.20373265,0.0,0.0,0.0,0.0
19,0.04712002,0.82290053,-0.07816489,-0.217599,0.0,0.17041455,0.0,0.0,0.0,0.0
20,0.05038749,0.82229936,0.19904603,-0.1439501,0.0,0.18742052,0.0,0.0,0.0,0.0
21,0.26565358,0.116479054,-0.060227808,-0.08735587,0.0,0.15102613,0.0,0.0,0.0,0.0
22,0.64171535,1.6092004,0.11075903,0.16169451,0.0,0.1480028,0.0,0.0,0.0,0.0
23,0.1920162,-0.09187003,0.18566231,-0.13552858,0.0,0.21150997,0.0,0.0,0.0,0.0
