part_group,week,risk_score,y_true,alert_level,threshold_used
Structure,2015-12-28/2016-01-03,0.47511765,1,0,0.762
Structure,2016-01-04/2016-01-10,0.7170162,1,0,0.762
Structure,2016-01-11/2016-01-17,0.61415863,1,0,0.762
Structure,2016-01-18/2016-01-24,0.6550101,0,0,0.762
Structure,2016-01-25/2016-01-31,0.7653148,0,1,0.762
Structure,2016-02-01/2016-02-07,0.8256625,0,1,0.762
Structure,2016-02-08/2016-02-14,0.7336035,0,0,0.762
Structure,2016-02-15/2016-02-21,0.8853686,1,1,0.762
Structure,2016-02-22/2016-02-28,0.8138382,1,1,0.762
Structure,2016-02-29/2016-03-06,0.8913046,1,1,0.762
Structure,2016-03-07/2016-03-13,0.87017953,1,1,0.762
Structure,2016-03-14/2016-03-20,0.79431874,1,1,0.762
Structure,2016-03-21/2016-03-27,0.7750193,1,1,0.762
Structure,2016-03-28/2016-04-03,0.8132177,1,1,0.762
Structure,2016-04-04/2016-04-10,0.8357607,1,1,0.762
Structure,2016-04-11/2016-04-17,0.92518073,1,1,0.762
Structure,2016-04-18/2016-04-24,0.9137556,1,1,0.762
Structure,2016-04-25/2016-05-01,0.87891674,1,1,0.762
Structure,2016-05-02/2016-05-08,0.9404402,1,1,0.762
Structure,2016-05-09/2016-05-15,0.90531266,1,1,0.762
Structure,2016-05-16/2016-05-22,0.8688282,1,1,0.762
Structure,2016-05-23/2016-05-29,0.9517601,1,1,0.762
Structure,2016-05-30/2016-06-05,0.77184576,1,1,0.762
Structure,2016-06-06/2016-06-12,0.9053357,1,1,0.762
Structure,2016-06-13/2016-06-19,0.85655856,1,1,0.762
Structure,2016-06-20/2016-06-26,0.8472204,0,1,0.762
Structure,2016-06-27/2016-07-03,0.7087491,0,0,0.762
Structure,2016-07-04/2016-07-10,0.7571899,0,0,0.762
Structure,2016-07-11/2016-07-17,0.76204234,1,1,0.762
Structure,2016-07-18/2016-07-24,0.76451814,1,1,0.762
Structure,2016-07-25/2016-07-31,0.7895786,1,1,0.762
Structure,2016-08-01/2016-08-07,0.6114697,1,0,0.762
Structure,2016-08-08/2016-08-14,0.37691566,0,0,0.762
Structure,2016-08-15/2016-08-21,0.5133323,0,0,0.762
Structure,2016-08-22/2016-08-28,0.32174972,0,0,0.762
Structure,2016-08-29/2016-09-04,0.31180725,0,0,0.762
Structure,2016-09-05/2016-09-11,0.22644036,0,0,0.762
Structure,2016-09-12/2016-09-18,0.3677002,0,0,0.762
Structure,2016-09-19/2016-09-25,0.20415898,0,0,0.762
Structure,2016-09-26/2016-10-02,0.29787722,1,0,0.762
Structure,2016-10-03/2016-10-09,0.38081342,1,0,0.762
Structure,2016-10-10/2016-10-16,0.3267661,1,0,0.762
Structure,2016-10-17/2016-10-23,0.34411404,1,0,0.762
Structure,2016-10-24/2016-10-30,0.15825792,1,0,0.762
Structure,2016-10-31/2016-11-06,0.51469123,0,0,0.762
Structure,2016-11-07/2016-11-13,0.40011704,0,0,0.762
Structure,2016-11-14/2016-11-20,0.44717082,0,0,0.762
Structure,2016-11-21/2016-11-27,0.34022862,0,0,0.762
Structure,2016-11-28/2016-12-04,0.4467647,0,0,0.762
Structure,2016-12-05/2016-12-11,0.36318812,0,0,0.762
Structure,2016-12-12/2016-12-18,0.43085232,1,0,0.762
Structure,2016-12-19/2016-12-25,0.59728515,0,0,0.762
Structure,2016-12-26/2017-01-01,0.8799552,1,1,0.762
Structure,2017-01-02/2017-01-08,0.7572616,0,0,0.762
Structure,2017-01-09/2017-01-15,0.8397909,0,1,0.762
Structure,2017-01-16/2017-01-22,0.8965462,0,1,0.762
Structure,2017-01-23/2017-01-29,0.89123654,0,1,0.762
Structure,2017-01-30/2017-02-05,0.74290425,1,0,0.762
