Nguồn,Ngày đăng,Tiêu đề,URL,Nội dung (đầy đủ),Nhãn (0/1/2)
ajot.com,2024-10-16,"US judge orders Boeing, DOJ to detail diversity policy before deciding on plea",https://www.ajot.com/news/us-judge-orders-boeing-doj-to-detail-diversity-policy-before-deciding-on-plea,"A federal judge on Tuesday ordered Boeing and the U.S. Justice Department to detail the impact of diversity and inclusion policies on the selection of an independent monitor before he decides whether to accept the planemaker's plea deal. U.S. District Judge Reed O'Connor held a hearing Friday as he considers whether to approve Boeing's agreement to plead guilty to conspiring to defraud regulators. The deal would include oversight for three years by an independent monitor. O'Connor on Tuesday told DOJ and Boeing to answer questions by Oct. 25 about the DOJ policy of selecting a monitor in keeping with the government's commitment to diversity and inclusion. A DOJ spokesperson said the government ""will comply with the judge’s order and respond before the court’s deadline."" Boeing did not immediately comment. While ordering DOJ and Boeing to respond to a series of questions about the diversity and inclusion policy and how it might affect the selection of an independent monitor, he also pointed out that it was not a disputed facet of the plea agreement. ""Critically, Boeing did not voice any objection to this provision,"" the judge said in his order. O'Connor also wants the planemaker to detail how its existing diversity, equity and inclusion policies ""are used in its current compliance and ethics efforts."" The planemaker agreed to pay up to a $487.2 million fine and spend at least $455 million on improving safety and compliance practices over three years of court-supervised probation as part of the plea deal. O'Connor Friday pressed the Justice Department to justify the terms of Boeing's agreement to plead guilty to fraud in the wake of the two fatal 737 MAX crashes in Indonesia in 2018 and Ethiopia in 2019 that killed 346 people. Attorneys for Boeing and DOJ argued Judge O'Connor should accept the plea deal, while lawyers for relatives of the crash victims urged him to reject it. Boeing agreed in July to plead guilty to conspiring to defraud regulators.",1
ajot.com,2023-09-12,Airseas announces major investment in R&D centre to accelerate development of wind technology for shipping,https://www.ajot.com/news/airseas-announces-major-investment-in-rd-centre-to-accelerate-development-of-wind-technology-for-shipping,"Airseas, a pioneer in wind propulsion technology for the maritime sector, has announced a major investment in a new research and development (R&D) centre to accelerate the development of its Seawing kite system towards large-scale production and rollout. Located in Dakhla (Morocco), the installation will comprise a 2,400m2 hangar and an advanced test bench, offering the opportunity to test the Seawing and its individual components systematically, in a variety of configurations. Dakhla, a world-famous location for nautical sports and kitesurfing, was selected because it offers continuous and stable winds, allowing the Airseas team to perform a range of trials on a daily basis. Vincent Bernatets, CEO of Airseas, said: “We are excited to enter this new stage of the Seawing development program, with testing taking place simultaneously on land and at sea to accelerate technological advancement and ultimately make a key decarbonization solution available to a wider number of shipowners. Today’s investment in a state-of-the-art testing centre demonstrates Airseas’ long-term commitment to research and development and to continuously improving our wind propulsion solutions for the maritime sector. “This comes at a pivotal time, as shipping is under growing pressure from regulators, investors, and its customers’ customers to reduce its environmental impact, starting this decade. We are convinced that wind propulsion will play a central role in this transition, now and in the longer term. Given the urgency of the climate crisis, there is no time to wait, and this is why we are working tirelessly to progress our Seawing system through the final testing stages and towards larger-scale industrialization.”",0
joc.com,2024-01-19,UK-based Wincanton accepts $718 million takeover offer from CEVA Logistics,https://joc.com/article/uk-based-wincanton-accepts-718-million-takeover-offer-from-ceva-logistics-5225747,"The acquisition of Wincanton will add almost $1.9 billion in revenue to CEVA’s balance sheet. Photo credit: Ceri Breeze / Shutterstock.com. CEVA Logistics and Wincanton on Friday finally agreed on an acquisition cash offer of £566.9 million ($718 million) after several recent takeover proposals by the CMA CGM subsidiary were rejected by the board of the UK-based forwarder. The offer that has been recommended to shareholders by the Wincanton board represents a premium of 52% of the company’s most recent closing price and gives Wincanton an enterprise value of £764 million. The sale to CEVA was welcomed by Wincanton Chairman Martin Read, who said it was in the interest of all the company’s shareholders and would provide greater certainty to their investment after a few lean years. “While we remain confident in the long-term prospects of Wincanton and the wider sector, we recognize that the strong performance of the company has not been reflected in the performance of its shares in recent years,” Read said in a statement. “We therefore believe this offer represents the best opportunity for shareholders to realize the value of their investment with greater certainty,” he added. Wincanton acknowledged in a statement to the London Stock Exchange that several prior, unsolicited proposals from CMA CGM over a period of a few weeks were turned down, “given such proposals were not at a level the Wincanton board felt adequately reflected the valuation of Wincanton and its future prospects.” Rodolphe Saadé, chairman and CEO of CMA CGM, said in a statement that Wincanton’s platform aligned with the CMA CGM Group's ambition to expand its presence in the “strategic region” and would allow it to grow its contract logistics, road and rail logistics business while diversifying the customer base. “Bringing together the two entities would strengthen the CMA CGM Group’s footprint in the United Kingdom and Ireland, while also paving the way for new opportunities and more innovative product offerings,” Saadé said. Wincanton provides a range of outsourced and integrated supply chain solutions across the e-fulfilment, grocery and consumer, general merchandise, and public and industrial sectors. The forwarder generated revenue of £1.46 billion in 2023, with underlying earnings before interest, taxes, depreciation and amortization (EBITDA) of £121.9 million. Wincanton CEO James Wroath said the company’s efforts toward automation and technology have allowed the forwarder to take advantage of trends pertaining to outsourcing and e-commerce. “This offer will enable Wincanton to continue and accelerate the progress that has been made, providing an excellent partner with the balance sheet strength that will allow the pursuit of both existing and new growth opportunities,” Wroath said. Wincanton is the latest in a series of huge investments CMA CGM has made recently as it builds out its integrated supply chain offering. Once the acquisition of Bolloré Logistics is finalized — CMA CGM said it was “poised to soon complete” the takeover — the combined operations of the CMA CGM Group’s logistics activities and Bolloré Logistics would have total revenue of approximately $24 billion based on 2022 results. CMA CGM’s logistics acquisition strategy saw the group take over Ingram Micro Commerce & Lifecycle Services in 2020, followed by the 2022 acquisition of European last-mile specialist Colis Privé. It then acquired GEFCO, which boosted CEVA’s capabilities in e-commerce contract logistics and automotive logistics. CMA CGM last year almost tripled its warehouse space in India with the acquisition of contract logistics specialist Stellar Value Chain Solutions. Contact Greg Knowler at greg.knowler@spglobal.com. © 2026 S&P Global. All rights reserved. Reproduction in whole or in part without permission is prohibited. You are permitted to print or download extracts from this material for your personal use only. None of this material may be used for any commercial or public use. For more information on reprints/eprints, please visit https://subscribe.joc.com/mediasolutions/.",0
ajot.com,2024-09-17,Warehouse on Wheels Wins prestigious ‘ACG Deal Makers’ Award in Cincinnati,https://www.ajot.com/news/warehouse-on-wheels-wins-prestigious-acg-deal-makers-award-in-cincinnati,"Warehouse on Wheels (WOW), a leading provider of on-demand mobile storage trailer solutions to manufacturing, distribution, and third-party logistics customers, has been recognized for outstanding corporate growth, innovation, and community impact by the Association for Corporate Growth (ACG) Cincinnati chapter. The company received an ACG Deal Makers Award during a ceremony held at Cincinnati Music Hall to honor business leaders and innovators and celebrate companies that have made significant contributions to their industries. Warehouse on Wheels is a network of some of North America’s most respected regional trailer rental providers. The company delivers on-demand mobile storage, cartage, and over-the-road solutions to solve two common supply chain and logistics challenges: a lack of secure, scalable storage space and the ability to track and move valuable goods more efficiently. Their customer-focused services cater to a diverse range of industries, including automotive and general manufacturing, retail distribution, construction, and communications, ensuring that businesses can efficiently manage their storage needs without the constraints of traditional warehousing. Founded in 2017 and headquartered in Northern Kentucky, WOW has expanded from two locations and about 5,400 trailers to over 40 across North America with a fleet of over 36,000 units.",0
ajot.com,2024-08-01,Breakbulk market outlook 2024: Navigating and seizing opportunities,https://www.ajot.com/news/breakbulk-market-outlook-2024-navigating-and-seizing-opportunities,"The breakbulk sector is encountering a dynamic and challenging environment as new regulations and initiatives to achieve net-zero emissions reshape the landscape. This year's AntwerpXL (AXL) exhibition and conference on 8-10 October promises to help logistics and supply chain professionals navigate this emerging market. Key speakers at the conference, including Sharanya Kumaramurthy, Market Intelligence Manager at the Energy Industries Council, will delve into how the global drive towards decarbonisation is spurring substantial investment in the ocean and renewable energy sectors. The increasing prevalence of offshore wind projects, hydrogen initiatives and carbon capture technologies is adding complexity to the market while simultaneously presenting significant opportunities. The breakbulk sector plays a crucial role in supporting the energy transition. With the expansion of offshore wind farms and the deployment of hydrogen and carbon capture technologies, the need to transport large, complex equipment across continents is rising fast – and so too will the demand for vessels. At the same time, the sector faces scrutiny and challenges in adopting sustainable fuels and energy sources. There will be a growing demand for more sustainable transportation methods, including the fuels being used. As reporting on emissions grows significantly, the industry increasingly needs to decarbonise, a key theme in AXL's conference program. Embracing digitalisation and technological solutions Thought leaders, including Peter Molly, Senior Analyst – Multipurpose Shipping (Associate) at Drewry Maritime Research, will be among the key speakers addressing the slow adoption of technologies such as AI and blockchain due to the industry's complexity and diverse operations. Given its varied sub-categories and niche requirements, the breakbulk sector must carefully evaluate the business case for these technologies. There is no one-size-fits-all solution for project cargo. External factors, geopolitical & MPV vessel demand dynamics External factors and geopolitical issues will continue to impact the breakbulk industry. Spot rates in these markets are expected to rise, driven primarily by tight capacity in the container market. The overspill of cargo into the MPV market, while not as extreme as during 2021/22, has prompted shippers to book space well in advance, further pushing up spot rates. Factors such as capacity repositioning, early peak season in some routes, port congestion in Asia and rerouting around the Cape of Good Hope have contributed to this trend. At the conference valuable insights into the current state of MPVs (Multipurpose Vessels) in the heavy lift sector will be addressed by expert Susan Oatway, Senior Research Analyst with the Journal of Commerce at S&P Global. Looking ahead, Oatway anticipates changes towards the end of 2024. The introduction of new container carrier vessels is expected to alter market dynamics. Additionally, the movement of energy cargo, geopolitical uncertainties surrounding the US election and the safety of the Suez Canal will significantly impact the breakbulk sector. These factors will be critical discussion topics at AXL, shaping the industry's strategic decisions. Fostering opportunities for the next generation Despite industry progress, there is still a lack of interest in the shipping industry among the younger generation. Murilo Caldana, Project Director for Fox Brasil and Advisory Board member for AXL, emphasise the importance of practical measures to enhance the breakbulk sector's efficiency and competitiveness. As the breakbulk sector navigates the challenges and opportunities presented by the global push for net-zero emissions, it must adapt to evolving market conditions. The demand for transporting renewable energy components, various external and geopolitical factors and rising spot rates in the MPV market highlight the sector's critical role. By addressing capacity bottlenecks, embracing digital solutions and fostering a forward-looking approach, the breakbulk industry can position itself to thrive amidst these transformative changes. The AXL conference will provide further insight and strategies, making it an essential event for industry professionals seeking to stay ahead in this rapidly evolving market.",1
joc.com,2022-05-12,ShipBob turns to Flexport for small merchant ocean consolidation,https://joc.com/article/shipbob-turns-to-flexport-for-small-merchant-ocean-consolidation-5235010,"ShipBob connects orders from e-commerce storefront sites such as Shopify to its fulfillment network of 30 US facilities. Photo credit: Shutterstock.com. Fulfillment services provider ShipBob is partnering with forwarder Flexport to bundle ocean freight services and customs clearance on shipments from China to the US to cater to small and mid-sized shippers wanting faster transit times on their inventory. The product, called FreightBob, packages less-than-container load (LCL) ocean capacity through Flexport with ShipBob’s cross-docking and inventory distribution services across its network of 30 US fulfillment centers. The product will initially be available for shipments from China to ports on the US West and East coasts, with a goal to expand it to Europe and Australia later this year, CEO Dhruv Saxena told JOC.com Wednesday. “We’ve captured a lot of the sales data over the years,” said Saxena, who co-founded ShipBob in 2014. “We have always been providing recommendations and forecasts to customers about where, out of the 30 places we have in US, that it’s best to place their inventory. But the feedback was they needed help from manufacturers getting that inventory to where we suggest it should go. What if we could aggregate all their volume and take over that coordination work?” The product creates faster transit times by speeding both the aggregation of orders at origin and the deconsolidation of those orders at ShipBob facilities at destination, Saxena said. ShipBob essentially acts as a single merchant, procuring full container capacity from Flexport and using its systems to determine when its 7,000 customers have orders from their manufacturers in China ready to move by ocean. Flexport handles the physical stuffing of the aggregated containers, the customs clearances, and provides the ocean capacity to ShipBob through its allocations from container lines. ShipBob customers, or their suppliers in China, would ordinarily have to arrange less-than-containerload space for pallets to move those orders. By aggregating orders through their platform, using customers’ order histories and forecasting tools, ShipBob can get preferential capacity and directly route the deconsolidated shipments to location that enable merchants to fulfill orders within two days. The companies said the product is priced comparably to existing LCL service products. “The container goes to, say Long Beach, and that entire container only has ShipBob clients,” Saxena said. “So it can bypass [being broken down] in the port and go to our cross-dock location and then we can send it out in ShipBob brokered [less-than-truckload] trucks to our inventory locations.” ShipBob works with LTL brokers in the same outsourced manner it does for international forwarding with Flexport. “Shippers will continue to face unreliable transit times, service levels, and cost transparency for years to come,” Steve Bozicevic, senior director of new product development at Flexport, said in a statement. “It’s imperative we collaborate with like-minded leaders in the global logistics space to provide the infrastructure and services to help fast-growing ecommerce brands meet the demand and expectations of their customers.” Flexport has an existing relationship with freight broker Convoy to tether its ocean and air capability with Convoy’s network of US truckload capacity. There has been talk in the market that Flexport and e-commerce merchant software provider Shopify might partner to link orders through Shopify with freight, customs, and trade finance services from Flexport. Shopify was an investor in Flexport’s latest funding round, a $930 million tranche that valued the company at $8 billion. Shopify has offered fulfillment services for nearly two years and last week purchased fulfillment provider Deliverr for $2.1 billion, a sign it intends to take greater direct control of fulfillment for its merchant customers. Saxena said ShipBob considers itself a “Switzerland” platform in that it can help merchants connect online orders through any channel, including Shopify and Amazon, to its fulfillment network. ShipBob has raised $330 million, according to the venture capital database Crunchbase, at a valuation of more than $1 billion as of mid-2021. “FreightBob was about 30 to 40 percent faster than anything else we’ve sourced,” Jerry Sever, chief operating officer at Complement, said in the statement. “From a pricing standpoint, I was looking at the total price that we were going to pay per unit, including shipping — rolled altogether, and it was still substantially cheaper than any of the quotes we received from other companies.” Contact Eric Johnson at eric.johnson@spglobal.com and follow him on Twitter: @LogTechEric. © 2026 S&P Global. All rights reserved. Reproduction in whole or in part without permission is prohibited. You are permitted to print or download extracts from this material for your personal use only. None of this material may be used for any commercial or public use. For more information on reprints/eprints, please visit https://subscribe.joc.com/mediasolutions/.",0
ajot.com,2023-09-20,Svitzer appoints Mattias Hellstrom as new global chief commercial officer,https://www.ajot.com/news/svitzer-appoints-mattias-hellstrom-as-new-global-chief-commercial-officer,"Svitzer, a leading global towage provider and part of A.P. Moller-Maersk, has today announced the appointment of Mattias Hellstrom as its new Global Chief Commercial Officer (CCO), effective from 1 October. Mattias makes the move to Svitzer’s global business after three years as CCO of Svitzer Europe and replaces outgoing Global CCO Videlina Georgieva, who was recently appointed Managing Director of Svitzer Australia. He will transfer this experience into his new role as Global CCO, and as part of Svitzer’s leadership team continue developing and driving the company’s global commercial strategy. Prior to his role as CCO of Svitzer Europe, Mattias was Managing Director of Svitzer Scandinavia for nearly seven years. Mattias has also held management roles at Mediterranean Shipping Company (MSC) and A.P. Moller–Maersk. In all, Mattias has more than 25 years of shipping industry experience to draw upon in the role as Global CCO. Speaking on the appointment, Kasper Nilaus, CEO, Svitzer, said: “I am delighted to be able to appoint a strong internal candidate for the extremely important Global CCO position at Svitzer. With his first-hand experience from Svitzer Europe, Mattias brings a deep knowledge of our business and customers. “Mattias’ sincere passion for our customers and focus on premium service delivery will be critical to ensuring our ongoing growth and strength in the market. I look very much forward to working more closely with Mattias and seeing him thrive in his new role.” Mattias Hellstrom, Svitzer’s new Global CCO, added: “I am honored to take up the position as Svitzer’s Global CCO at such an important time for our business. Building on the foundation laid by my predecessor, I will do my utmost to ensure that we continue to deliver a world-class service. I am excited to be able to work with colleagues from around the world to continue developing our ability to listen deeply to our customers, and use the knowledge gained to meet their current and future marine services needs.” Svitzer has already initiated the process of recruiting a replacement for Mattias Hellstrom in the role as Svitzer Europe CCO.",0
ajot.com,2024-11-25,Polar King appoints Lake transportation coordinator,https://www.ajot.com/news/polar-king-appoints-lake-transportation-coordinator,"Polar King International, Inc., the leading outdoor refrigerated and freezer walk-in unit provider, is pleased to announce Lynn Lake has joined the organization as a transportation coordinator. Lake is responsible for planning and coordinating the shipping process of walk-in units around the country, says Polar King president Dave Schenkel. “Polar King is proud to have Lynn join our team, and we know she’ll be a great asset to help us,” Schenkel says. “She’ll be crucial for ensuring the timely and efficient delivery of units, and we can’t wait for her to hit the ground running.” “I’m excited to join Polar King as a transportation coordinator,” Lake says. “This is a crucial job to help customers with their cold storage needs, and I hope I can improve our shipping process moving forward.” Polar King manufactures all-electric refrigerated and freezer walk-in units that are American made and offer a 100% seamless fiberglass construction. This design ensures that internal storage remains unaffected by external conditions, even in challenging environments. Polar King walk-in units are ideal for any business requiring cold storage, such as foodservice and restaurants, agriculture, education, hunting and more, Schenkel notes.",0
joc.com,2023-04-26,Breakbulk23: AI will infiltrate day-to-day breakbulk shipping: experts,https://joc.com/article/breakbulk23-ai-will-infiltrate-day-to-day-breakbulk-shipping-experts-5242065,"Shipping is gingerly incorporating AI to manage massive streams of data, but it must be handled wisely to ensure trustworthy results. Photo credit: Tracie Morris Schaeffer. Artificial intelligence (AI) will inevitably become part of the breakbulk and project cargo community’s daily decision-making — but those decisions will only be as good as the data gathered, a panel of shipping technology providers told attendees at the Journal of Commerce’s Breakbulk and Project Cargo Conference. “I think it’s going to infiltrate everything we do on a day-to-day basis,” said Matthew Costello, founder and CEO of Houston-based digital platform Voyager Portal. Voyager Portal, which focuses on breakbulk and bulk shipping, has developed an AI-based portal to automate demurrage processes. The portal extracts large amounts of data from documents such as carriers’ statements of facts to help customers process demurrage claims more efficiently. “I think for companies that have problems that involve a lot of data, AI tools can be extremely powerful for solving a business problem. And that’s how we’ve applied it,” Costello said at the conference in New Orleans last week. Simple automation follows a set of rules to perform routine tasks. In contrast, AI enables data-based “predictive decision making” for shipping cargo, Alexander Varvarenko, founder and CEO of digital shipping platform Shipnext, told attendees. Shipnext uses AI to manage shipping data, process email, and digitalize workflows. AI decision-making would factor in data such as cargo quantities, restrictions, and dates, and then match that data with ship availability. “The deeper that information and data set is, the better the decision-making process,” Varvarenko said. Identifying repetitive processes is key to automating data-heavy processes, said Cynthia Worley, vice president of strategic accounts at London-based email platform SEDNA, which layers AI over the automation of manual and repetitive tasks such as invoice processing and deleting personal data. “You hire an expensive, educated team,” Worley said. “What we want to do is focus those folks on contributing commercially, not doing administrative work.” For example, AI can help weed out and automate standard queries, while routing more complex queries directly to employees, she said. Worley emphasized that this kind of human intervention will be important to AI implementation. “We need to make sure we’re going about this in a measured way, and that we’re not just handing over decisions to a machine,” Worley said. Costello said companies looking to take initial steps toward AI adoption can start by finding a difficult problem that entails managing large amounts of data and is such that solving the problem will be meaningful to the company. “Those are often places where you will find that certain types of AI and machine learning tools can really make a big difference, whether it’s in structuring or cleaning, or in deriving a decision faster than you could have manually done yourself,” he said. AI-based decision making will depend on the quality of the data, Worley said. Companies can lay the groundwork for AI now by evaluating their standards for collecting data and identifying opportunities to automate routine tasks. “We’re all a little bit afraid of change,” Worley said. “But here’s an opportunity to be part of that change and educate yourself.” Contact Special Correspondent Autumn Cafiero Giusti at autumn@autumngiusti.com. © 2026 S&P Global. All rights reserved. Reproduction in whole or in part without permission is prohibited. You are permitted to print or download extracts from this material for your personal use only. None of this material may be used for any commercial or public use. For more information on reprints/eprints, please visit https://subscribe.joc.com/mediasolutions/.",0
joc.com,2023-03-18,New IMO rule at odds with practical realities: breakbulk executives,https://joc.com/article/new-imo-rule-at-odds-with-practical-realities-breakbulk-executives-5220450,"Certain types of general cargo ships are exempt from the energy efficiency existing ship index (EEXI) and carbon intensity indicator (CII) regulations for the time being. Photo credit: Harren & Partners / SAL. New environmental regulations will cause upheaval in the project and breakbulk shipping market, with the potential to affect commercial relationships and operations, reduce available tonnage, and drive freight rates higher, according to industry executives. The multipurpose/heavy-lift (MPV/HL) shipping segment may, in some instances, be able to avoid these new regulations, but it will not escape the larger pressures of decarbonization, nor requirements to collect emissions data. The new rules, the International Maritime Organization’s (IMO's) energy efficiency existing ship index (EEXI) and carbon intensity indicator (CII) regulations, went into force as of Jan. 1 but won’t be fully implemented until data has been collected for a year. The EEXI measures an existing ship’s energy efficiency against baselines set by the IMO and is relatively straightforward to calculate. The CII is a ratings system that measures how efficiently a ship transports goods or passengers as measured in grams of CO2 emitted per cargo-carrying capacity — i.e., deadweight (dwt) — and nautical mile. Data collected during 2023 must be reported in early 2024 and will be used to give ships a CII performance rating from A (major superior) to E (inferior). Vessels with low ratings will be required to take corrective actions, and rating thresholds will become increasingly stringent over time. The EEXI and the similar, older energy efficiency design index (EEDI) regulation, “are balance sheet issues,” Sam Norton, president and CEO of New York-listed Overseas Shipholding Group (OSG), told the Journal of Commerce. “There’s a one-time test or adjustment. You pass or not, you get your rating, and that’s what you are. From an industry point of view, these are easy.” The CII, on the other hand, “is an income statement issue,” he said. “It’s a flow — it changes and gets more stringent over time.” The CII rating is created by the trading patterns of the vessels, which is controlled by the operator, rather than the owner; and yet, the owner bears the consequence of the CII grading, he said. The CII focuses strictly on capacity and does not take the type of cargo carried by a given vessel into account. Instead, vessel speed, port congestion, bad weather, voyage lengths, and excess fuel consumption are among the factors that affect a ship’s CII rating. As such, industry stakeholders say the index offers a distorted picture of a given ship’s real-life emissions efficiency. “If we look at the IMO framework here, the CII is not fit for purpose,” Thomas Damsgaard, head of Americas for ship owner association BIMCO, said during a Jan. 26 Journal of Commerce webcast. “And that's really what it comes down to. Are we trying to create a greener planet for the next generation? Are we trying to reduce carbon and greenhouse gases? The CII rules do not address those issues. “There is a total disconnect, and this is where a lot of this frustration comes from, because I think there’s a general willingness within the industry to decarbonize,” he added. BIMCO Deputy Secretary General Lars Robert Pedersen said the CII, as currently written, creates unrealistic expectations for vessel operators. “The most CII-efficient ship is empty and never calls a port,” he told the Journal of Commerce. “If we were to change the metric and make it better matched to the intention of the whole concept of decarbonization, it would be the ship that carries cargo and comes into port that would get better ratings. The most suitable metric would actually reflect the commercial imperative. “Whether this will become possible will depend on the actual formulation and analysis of the data,” Pedersen added. Henning Rebnord, environmental, social, and governance and decarbonization manager at general cargo and multipurpose (MPV) carrier G2 Ocean, said the CII rules will significantly impact the MPV market and could incentivize shipping companies to implement measures that increase emissions in other areas to improve their vessels’ CII grades. “To ensure a positive CII rating, carriers may prefer ballast voyages over laden voyages as time spent in port loading or discharging cargo will negatively impact the CII rating,” Rebnard told the Journal of Commerce. “This is not a sustainable solution.” “Other non-eco-friendly measures carriers may consider are using feeder vessels and road or rail transportation to collect cargoes in hub ports,” he added. “This will reduce the number of port calls for the vessels and the time spent in port, consequently leading to a better CII rating, but these are not environmentally friendly solutions.” CII ratings are dependent on trading patterns, which are in turn dictated by the vessel charterer, who has chartered or contracted the ship from the vessel owner. During the webcast, both Norton and Damsgaard said the influence charterers will have on a vessel’s CII rating through the type and duration of a charter and the way a ship is operated signals a fundamental shift in the owner-charterer relationship. The charterer is responsible for determining the speed and duration of any voyage. But if the vessel violates regulations or fails to meet requirements and is subsequently prohibited from trading, the vessel owner is responsible for addressing the affected CII ratings. As such, the CII regulation has the potential to “create an environment where charterers and owners are in real conflict,” Norton said. Charterers taking a ship on a single voyage or short-term time charter of three to six months, for example, may not be interested in maintaining a vessel’s CII rating by sailing at a slower speed or maintaining operational efficiencies, Norton and Damsgaard explained. If that vessel’s rating slides to a D or an E, the owner could be forced to accept lower rates to secure vessel employment, Norton said. On the other hand, charterers who take a ship on a long-term charter of two or three years will be incentivized to maintain a ship’s high CII rating, especially if they sublet the vessel at potentially a higher freight rate than the original charter with the owner, Norton and Damsgaard said. Owners who operate their own ships have a vested, long-term incentive to maintain a good CII rating. Against this complicated background, BIMCO has released a new operational CII clause for time charter parties to help create a more equitable relationship between vessel owners and operators, Damsgaard said during the webinar. Existing charter party terms tend to incentivize moving vessels — and the cargo inside — from one port to another as quickly as possible, OSG’s Norton said during the webcast. For example, the economics of the demurrage clause or provisions for who pays for waiting time are all contingent upon when the ship arrives and when it departs, irrespective of operational circumstances such as port congestion, he said. The BIMCO CII clause does not address regulatory compliance. Rather, it is an operational clause that invites collaboration and cooperation between time charterers and the owners of the vessel, Damsgaard said. “The collaboration is really about collecting [data], and also sharing and working on the voyage planning. It's about creating transparency,” he said. “There’s scope for expanding beyond charter-owner cooperation to port cooperation, to try and get from just-in-time delivery a much more efficient use of [voyage time],” he added. “I think that's a really important point that needs to be pursued as well.” According to Jost Bergmann, business director for multipurpose and general cargo ships at ship classification society and maritime consultancy DNV, baseline requirements for the EEXI and CII rules differ by ship type. Based on IMO analyses of historic emissions data, tankers and bulk carriers are subject to the most demanding requirements, followed by general cargo ships, roll-on/roll-off (ro/ro) vessels, and container ships. Owners must work toward compliance for their assigned ship type, but Bergmann said many are now wondering if they can switch to a less-demanding category. General cargo ships include a mixed “grab bag” subset of specialized vessel types that don’t fit neatly into the general cargo category, differ wildly in emissions performance, and are exempt from the EEXI and CII regulations, he said. This subset of ships, which includes nuclear fuel carriers, livestock carriers, yacht carriers, and heavy load carriers, is not required to comply with the CII and EEXI regulations because they are designed for special purposes and measuring them against their deadweight capacity would be unfair, Bergmann explained. These types of ships are optimized as volume carriers rather than deadweight carriers, which creates a handicap when deadweight is the baseline for compliance measurements, he said. In certain cases, more technical multipurpose, heavy-lift, and heavy-load carrier can be considered members of this general cargo subset as well, giving those vessels a commercial advantage, at least in the short term, Bergmann said. Still, all ships must collect and report their emissions data, BIMCO’s Pedersen said. Pedersen said the IMO could revisit the general dry cargo subset and decide to include it in the CII and EEXI regulations in the future, but the exemption is “not a huge problem” given that the group represents a relatively small portion of the global shipping fleet. “There are limited cross-trading possibilities where you would try to evade CII by using this subset of general cargo,” he explained. “You wouldn't build an MPV ship to transport containers in order to evade CII.” Industry members are less sanguine, however. “The IMO has been criticized for being slow and too tentative with its emissions strategy and is discussing a tightening of requirements such that shipping reaches complete sustainability, or net zero, by 2050,” Bergmann said. “Ship owners are feeling more and more pressure to be sustainable, and this pressure will only increase,” he added. “These exemptions [to the CII and EEXI rules] help carriers and their customers in the short term, but in the long term, it will not save them. It gives them a few more years to trade existing vessels, but eventually the industry will have to demonstrate that it is doing its utmost to reduce emissions.” Contact Janet Nodar at janet.nodar@spglobal.com and follow her on Twitter: @janet_nodar. Contact Keith Wallis at keithwallis@hotmail.com. © 2026 S&P Global. All rights reserved. Reproduction in whole or in part without permission is prohibited. You are permitted to print or download extracts from this material for your personal use only. None of this material may be used for any commercial or public use. For more information on reprints/eprints, please visit https://subscribe.joc.com/mediasolutions/.",1
