supplier_id,country,region
SUP001,USA,North America
SUP002,UK,Europe
SUP003,USA,North America
SUP004,Vietnam,Asia
SUP005,USA,North America
SUP006,UK,Europe
SUP007,Thailand,Asia
SUP008,USA,North America
SUP009,South Korea,Asia
SUP010,USA,North America
SUP011,Taiwan,Asia
SUP012,France,Europe
SUP013,USA,North America
SUP014,Taiwan,Asia
SUP015,USA,North America
SUP016,Taiwan,Asia
SUP017,UK,Europe
SUP018,China,Asia
SUP019,USA,North America
SUP020,South Korea,Asia
SUP021,India,Asia
SUP022,USA,North America
SUP023,USA,North America
SUP024,France,Europe
SUP025,China,Asia
SUP026,USA,North America
SUP027,USA,North America
SUP028,UK,Europe
SUP029,Germany,Europe
SUP030,Thailand,Asia
SUP031,UK,Europe
SUP032,France,Europe
SUP033,France,Europe
SUP034,Vietnam,Asia
SUP035,India,Asia
SUP036,Taiwan,Asia
SUP037,UK,Europe
SUP038,USA,North America
SUP039,France,Europe
SUP040,China,Asia
