incident_id,part_id,supplier_id,site_id,defect_severity,defect_type,scrap_qty,incident_week
QI000001,P00264,SUP033,SITE06,Major,Surface finish,1,2024-W50
QI000002,P00185,SUP019,SITE04,Major,Surface finish,1,2022-W28
QI000003,P00170,SUP001,SITE02,Minor,Material,1,2023-W07
QI000004,P00164,SUP033,SITE01,Minor,Dimensional,1,2023-W41
QI000005,P00297,SUP002,SITE01,Minor,Packaging,1,2025-W02
QI000006,P00101,SUP021,SITE01,Critical,Material,3,2023-W16
QI000007,P00069,SUP037,SITE06,Major,Certification,1,2024-W40
QI000008,P00167,SUP023,SITE06,Minor,Dimensional,1,2024-W21
QI000009,P00003,SUP040,SITE06,Minor,Documentation,1,2023-W40
QI000010,P00264,SUP033,SITE03,Critical,Dimensional,1,2023-W11
QI000011,P00054,SUP027,SITE01,Minor,Documentation,1,2022-W50
QI000012,P00124,SUP020,SITE05,Minor,Documentation,1,2024-W39
QI000013,P00036,SUP037,SITE05,Major,Documentation,1,2024-W22
QI000014,P00048,SUP006,SITE02,Minor,Packaging,1,2024-W33
QI000015,P00090,SUP039,SITE02,Minor,Surface finish,1,2024-W31
QI000016,P00044,SUP017,SITE06,Minor,Documentation,1,2023-W07
QI000017,P00137,SUP038,SITE02,Minor,Documentation,1,2023-W06
QI000018,P00083,SUP030,SITE01,Minor,Dimensional,1,2024-W12
QI000019,P00128,SUP014,SITE01,Minor,Certification,1,2022-W26
QI000020,P00230,SUP040,SITE03,Minor,Documentation,1,2023-W04
QI000021,P00257,SUP038,SITE01,Critical,Documentation,2,2022-W26
QI000022,P00046,SUP018,SITE03,Minor,Material,1,2022-W44
QI000023,P00064,SUP032,SITE04,Minor,Packaging,1,2022-W15
QI000024,P00157,SUP019,SITE03,Minor,Certification,1,2023-W20
QI000025,P00084,SUP009,SITE02,Minor,Material,1,2024-W34
QI000026,P00091,SUP024,SITE06,Minor,Surface finish,1,2024-W03
QI000027,P00149,SUP028,SITE03,Minor,Material,1,2023-W39
QI000028,P00270,SUP006,SITE05,Major,Dimensional,1,2024-W44
QI000029,P00240,SUP013,SITE05,Minor,Dimensional,1,2023-W42
QI000030,P00126,SUP026,SITE03,Minor,Packaging,1,2023-W52
QI000031,P00161,SUP012,SITE05,Minor,Packaging,1,2022-W40
QI000032,P00164,SUP033,SITE01,Major,Dimensional,1,2023-W07
QI000033,P00138,SUP040,SITE05,Minor,Surface finish,1,2025-W02
QI000034,P00163,SUP027,SITE03,Major,Material,1,2022-W31
QI000035,P00115,SUP008,SITE04,Minor,Surface finish,1,2023-W34
QI000036,P00226,SUP027,SITE02,Minor,Packaging,1,2024-W12
QI000037,P00005,SUP024,SITE06,Minor,Material,1,2023-W22
QI000038,P00122,SUP022,SITE06,Minor,Dimensional,1,2024-W01
QI000039,P00021,SUP015,SITE04,Minor,Material,1,2023-W08
QI000040,P00091,SUP024,SITE06,Minor,Material,1,2022-W06
QI000041,P00094,SUP011,SITE04,Minor,Certification,1,2022-W39
QI000042,P00070,SUP027,SITE02,Minor,Material,1,2024-W40
